REF_DATE,GEO,DGUID,Condominium status,Residency status,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Pickering,2011A00053518001,Not condominium,Non-resident,Total value,Dollars,81,units ,0,v116891333,2.3.3.4,111939400,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses","Total, all residency status categories",Number,Number,223,units ,0,v116891334,3.1.1.1,35483,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses","Total, all residency status categories",Median value,Dollars,81,units ,0,v116891335,3.1.1.2,455000,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses","Total, all residency status categories",Average value,Dollars,81,units ,0,v116891336,3.1.1.3,489700,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses","Total, all residency status categories",Total value,Dollars,81,units ,0,v116891337,3.1.1.4,17374490900,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses",Resident,Number,Number,223,units ,0,v116891338,3.1.2.1,35149,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses",Resident,Median value,Dollars,81,units ,0,v116891339,3.1.2.2,455000,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses",Resident,Average value,Dollars,81,units ,0,v116891340,3.1.2.3,489900,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses",Resident,Total value,Dollars,81,units ,0,v116891341,3.1.2.4,17220223200,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses",Non-resident,Number,Number,223,units ,0,v116891342,3.1.3.1,334,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses",Non-resident,Median value,Dollars,81,units ,0,v116891343,3.1.3.2,430000,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses",Non-resident,Average value,Dollars,81,units ,0,v116891344,3.1.3.3,461900,,,,0
2017,Ajax,2011A00053518005,"Total, all condominium statuses",Non-resident,Total value,Dollars,81,units ,0,v116891345,3.1.3.4,154267700,,,,0
2017,Ajax,2011A00053518005,Condominium,"Total, all residency status categories",Number,Number,223,units ,0,v116891346,3.2.1.1,2845,,,,0
2017,Ajax,2011A00053518005,Condominium,"Total, all residency status categories",Median value,Dollars,81,units ,0,v116891347,3.2.1.2,263000,,,,0
2017,Ajax,2011A00053518005,Condominium,"Total, all residency status categories",Average value,Dollars,81,units ,0,v116891348,3.2.1.3,276900,,,,0
2017,Ajax,2011A00053518005,Condominium,"Total, all residency status categories",Total value,Dollars,81,units ,0,v116891349,3.2.1.4,787724200,,,,0
2017,Ajax,2011A00053518005,Condominium,Resident,Number,Number,223,units ,0,v116891350,3.2.2.1,2794,,,,0
2017,Ajax,2011A00053518005,Condominium,Resident,Median value,Dollars,81,units ,0,v116891351,3.2.2.2,264000,,,,0
2017,Ajax,2011A00053518005,Condominium,Resident,Average value,Dollars,81,units ,0,v116891352,3.2.2.3,277100,,,,0
2017,Ajax,2011A00053518005,Condominium,Resident,Total value,Dollars,81,units ,0,v116891353,3.2.2.4,774146100,,,,0
2017,Ajax,2011A00053518005,Condominium,Non-resident,Number,Number,223,units ,0,v116891354,3.2.3.1,51,,,,0
2017,Ajax,2011A00053518005,Condominium,Non-resident,Median value,Dollars,81,units ,0,v116891355,3.2.3.2,257000,,,,0
2017,Ajax,2011A00053518005,Condominium,Non-resident,Average value,Dollars,81,units ,0,v116891356,3.2.3.3,266200,,,,0
2017,Ajax,2011A00053518005,Condominium,Non-resident,Total value,Dollars,81,units ,0,v116891357,3.2.3.4,13578100,,,,0
2017,Ajax,2011A00053518005,Not condominium,"Total, all residency status categories",Number,Number,223,units ,0,v116891358,3.3.1.1,32638,,,,0
2017,Ajax,2011A00053518005,Not condominium,"Total, all residency status categories",Median value,Dollars,81,units ,0,v116891359,3.3.1.2,468000,,,,0
2017,Ajax,2011A00053518005,Not condominium,"Total, all residency status categories",Average value,Dollars,81,units ,0,v116891360,3.3.1.3,508200,,,,0
2017,Ajax,2011A00053518005,Not condominium,"Total, all residency status categories",Total value,Dollars,81,units ,0,v116891361,3.3.1.4,16586766700,,,,0
2017,Ajax,2011A00053518005,Not condominium,Resident,Number,Number,223,units ,0,v116891362,3.3.2.1,32355,,,,0
